"Operation","Approach","Time & Space 
Complexity","Edge Cases"
"Print","Assign head to a tempItr and loop till it is None.","O(n)","-"
"Append","Point tail to new node and assign new node as tail. Incr length. Returm True.","O(1)","1. When LL has 0 nodes, tail will be None 
Sol. Create new node and assign it as head and tail. 
Incr length. Return True"
"Pop","Create var backItr as 1st node and frontItr as 2nd node. 
Loop until frontItr is tail. Now that backItr is (last node - 1), 
assign it to tail and point it to None. Decr length and return frontItr.","O(n)","1. When LL has 0 nodes, there is nothing to remove
Sol. Just return None
2. When LL has 1 nodes, frontItr will be None
Sol. Assign None to head and tail, decr length and return ele"
"Prepend","Point new node to head and assign new node to head. Return True.","O(1)","1. When LL has 0 nodes, head will be None
Sol. Create new node and assign it as head and tail. Return True"
"Pop First","Create var ele and assign head to it. Assign head to its next.
Point ele to None. Return ele.","O(1)","1. When LL has 0 nodes, there is nothing to remove
Sol. Just return None
2. When LL has 1 nodes, 2nd node will be None. 
Sol. Assign None to head and tail, decr length and return ele"
"Get Node","Check EC1. Create itr var and assign head to it. Create incr.
Loop until itr is none and incr less than index. Check EC2. Return itr.","O(n)","1. Check for negative index.
Sol. Return None if index is less than 0
2. Check for Out of bound Exception
Sol. After Loop, Return None if itr is None"
"Set Node","Get node, ele using index. If it is None, return False.
Assign value and return True.","O(n)","Same as Get Node and handled there"
"Insert","Check EC1. Get prev node. Check EC2. Create node. 
Point it to prev node's next. Point prev node to new node. Return True.","O(n)","1. When LL is empty and insert to 0
Sol. Prepend node
2. After getting node, check for Get Node's EC1 and EC2
Sol. Return None if prev node is None"
"Remove","Check EC1. Get prev node. Check EC2. Assign ele with prev node's next.
Point prev node to ele's next. Cleanup by pointing ele's to None.
Return ele.","O(n)","1. When LL is empty and insert to 0
Sol. Check for index 0 and pop first instead
2. After getting node, check for Get Node's EC1 and EC2
Sol. Return None if prev node is None"
"Reverse","Swap head and tail. Create 3 vars - backItr as None, mid as tail and 
frontItr as tail's next. Loop until frontItr is None and do following:
Point mid to backItr. Assign backItr as mid, mid as frontItr and
frontItr as frontItr's next. Check EC1.","O(n)","1. Last Node is dangling as loop is exited when frontItr is None
Sol. Point mid to backItr to complete list"
,,,
,,,
,,,
"Pointers","Why would you want to have a length property in LinkedList ?
- Efficiency: Without it, determining the length requires traversing the entire 
list, which takes O(n) time instead of O(1) time
- Simplicity: It simplifies implementation of algorithms that rely on size of 
the list. Ex: operations like finding median, splitting list
- Error Checking: It can help with error checking and validation. 
Ex: you can quickly check if list is empty or if it contains more elements 
than a threshold",,
